food_id,alimento,agua,alcohol,calcio,carbohidratos,colesterol,equivalentes_de_niacina_totales,fibra_dietetica_total,folato_total,fósforo,grasa_total,hierro_total,ioduro,magnesio,potasio,proteina_total,riboflavina,selenio_total,sodio,tiamina,viamina_e_equivalentes_de_alfa_tocoferol_de_actividades_de_vitámeros_e,vitamina_a_equivalentes_de_retinol_de_actividades_de_retinos_y_carotenoides,vitamina_b12,vitamina_b6_total,vitamina_c,vitamina_d,zinc,ácido_graso_120,ácido_graso_140,ácido_graso_160,ácido_graso_180,ácido_graso_181_n9_cis,ácido_graso_182,ácido_graso_183,ácido_graso_204_n6,ácido_graso_205,ácido_graso_226_n3,ácidos_grasos_monoinsaturados_totales,ácidos_grasos_poliinsaturados_totales,ácidos_grasos_saturados_totales,energia_kj,energia_kcal
2337,"Gamba, hervida",70.0,0.0,142.0,0.0,81.0,3.96,0.0,0.0,323.75,1.71,0.99,25.2,38.85,227.5,19.78,0.14,16.2,914.25,0.02,0.0,0.0,0.0,0.06,0.0,0.0,1.44,,,,,,,,,,,0.5,0.4,0.4,400.0,96.0
2338,Caviar,47.5,0.0,275.0,4.0,588.0,0.12,0.0,30.0,356.0,17.9,11.88,,300.0,181.0,24.6,0.62,65.5,1500.0,0.19,1.89,271.5,20.0,0.32,0.0,35.1,0.95,,,,,,,,,,,4.631,7.405,4.06,1149.0,276.0
2339,Langosta,79.7,0.0,60.0,0.0,150.0,5.3,0.0,17.0,261.0,2.0,0.7,37.0,34.0,220.0,18.0,0.11,46.2,270.0,0.12,1.5,0.0,1.0,0.06,0.0,0.0,2.3,,,,,,,,,,,0.38,0.74,0.24,380.0,91.0
2340,Langostino,73.4,0.0,115.0,1.5,185.0,3.2,0.0,2.0,215.0,0.8,3.3,90.0,69.0,221.0,24.3,0.02,24.3,305.0,0.02,1.5,18.0,1.9,0.06,0.0,18.0,1.1,,,,,,,,,,,0.1,0.2,0.2,468.0,112.0
2341,Lenguado,82.2,0.0,30.0,0.0,60.0,5.5,0.0,11.0,260.0,1.3,0.7,30.0,29.0,230.0,16.5,0.12,44.0,100.0,0.1,1.1,0.0,1.0,0.43,0.0,0.0,0.4,,0.18,0.54,0.13,0.37,0.15,0.02,0.07,0.193,0.542,0.27,0.43,0.18,329.0,79.0
2342,"Lenguado, frito",79.5,0.0,51.0,0.0,42.0,6.5,0.0,10.0,180.0,2.2,0.3,28.0,22.0,280.0,17.9,0.1,36.0,120.0,0.26,0.0,0.0,2.0,0.39,0.0,0.0,0.5,,,,,,,,,,,0.6,0.5,0.3,386.0,93.0
2343,"Lenguado, plancha",76.2,0.0,28.26,0.47,61.16,5.12,0.0,10.23,242.21,7.97,0.66,27.91,27.02,214.42,15.36,0.11,0.0,93.26,0.09,0.28,19.26,0.93,0.4,0.0,0.02,0.38,,,,,,,,,,,3.7,0.88,1.79,564.0,135.0
2344,Lubina,80.7,0.0,20.0,0.0,68.0,6.7,0.0,3.0,410.0,1.3,1.1,7.0,26.0,340.0,18.0,0.16,36.5,69.0,0.11,0.5,0.0,4.0,0.2,0.0,0.0,0.8,0.004,0.16,0.68,0.16,0.8,0.52,0.1,0.02,0.263,0.461,0.48,0.36,0.27,354.0,85.0
2345,Mejillon,87.3,0.0,80.0,0.0,58.0,3.0,0.0,33.0,236.0,1.9,4.5,35.0,23.0,92.0,10.8,0.14,56.0,210.0,0.1,0.9,0.0,8.0,0.08,0.0,0.0,1.8,,0.11,0.51,0.13,0.06,0.04,0.03,0.05,0.71,0.7,0.35,0.52,0.41,254.0,61.0
2346,"Mejillón, en escabeche",77.3,0.0,45.3,0.0,61.9,3.2,0.0,13.0,0.0,14.0,3.7,31.0,20.4,0.0,10.7,0.13,0.0,0.0,0.1,1.33,53.1,7.7,0.06,0.0,0.0,1.6,,,,,,,,,,,2.77,8.52,2.76,700.0,168.0
2347,Merluza fresca,86.3,0.0,33.1,0.0,67.0,8.53,0.0,12.3,142.0,1.8,1.1,27.0,25.1,294.0,11.93,0.09,36.0,101.0,0.09,0.35,0.0,1.1,0.16,0.0,0.0,0.37,0.001,0.04,0.186,0.058,0.097,0.016,0.008,0.025,0.1,0.266,0.43,0.46,0.35,269.0,65.0
2348,"Merluza, rebozada, frita",75.39,0.0,30.85,3.52,78.83,5.02,0.15,13.68,170.56,10.29,1.07,15.8,22.0,233.43,10.65,0.1,0.0,89.27,0.08,0.81,13.74,1.01,0.15,0.5,0.11,0.42,,,,,,,,,,,5.71,1.31,1.51,622.0,149.0
2349,"Mero, plancha",75.4,0.0,16.08,0.32,41.78,2.12,0.16,12.06,189.82,9.79,0.9,,18.27,245.11,14.33,0.13,56.5,71.87,0.72,0.98,7.56,1.78,0.29,2.49,0.0,0.47,,,,,,,,,,,4.38,2.92,1.38,611.0,147.0
2350,Nécora,75.4,0.0,30.0,,100.0,6.3,0.0,20.0,160.0,5.1,1.3,40.0,48.0,270.0,19.5,0.15,37.4,370.0,0.1,2.3,0.0,0.0,0.3,0.0,0.0,3.8,,,,,,,,,,,1.13,2.18,0.69,518.0,124.0
2351,"Panga, cruda",83.8,0.0,36.7,0.3,29.8,0.35,0.0,,107.0,1.2,0.21,8.0,17.6,200.0,13.4,0.04,9.6,274.0,0.04,0.16,1.99,0.3,0.1,0.0,0.05,0.24,,,,,,,,,,,0.44,0.17,0.47,277.0,67.0
2352,Percebe,85.9,0.0,126.0,0.0,14.0,3.0,0.0,7.0,157.0,0.5,0.3,58.0,94.0,330.0,13.6,0.6,28.8,18.0,0.3,0.85,0.0,15.0,0.22,0.0,0.0,0.5,,,,,,,,,,,0.01,0.01,0.01,250.0,60.0
2354,"Pescado, genérico",74.43,0.0,23.2,0.0,53.6,7.88,0.0,11.67,220.4,1.6,0.8,40.4,28.2,322.2,20.1,0.16,24.7,85.8,0.092,0.918,22.75,2.58,0.57,0.0,7.73,0.5,,,,,,,,,,,0.71,1.27,3.69,401.0,96.0
2356,"Pez espada, emperador, plancha",73.98,0.0,20.02,1.28,36.45,8.45,0.02,2.0,475.57,8.71,0.91,0.56,54.5,332.94,16.01,0.05,0.0,95.81,0.05,0.24,43.0,4.67,0.48,0.2,0.0,0.4,,,,,,,,,,,4.14,1.3,1.57,616.0,148.0
2357,"Pijota, cruda",86.3,0.0,33.1,0.0,67.0,8.53,0.0,12.3,142.0,1.8,1.1,27.0,25.1,294.0,11.93,0.09,36.0,101.0,0.09,0.35,0.0,1.1,0.16,0.0,0.0,0.37,,,,,,,,,,,0.43,0.46,0.35,269.0,65.0
2359,"Acelga, en conserva",94.5,0.0,80.0,2.3,0.0,0.66,1.3,10.0,33.0,0.08,2.3,14.0,86.0,510.0,1.8,0.09,0.8,130.0,0.03,1.89,227.0,0.0,0.09,18.0,0.0,0.2,,,,,,,,,,,0.016,0.028,0.012,73.0,17.0
2360,"Acelgas, hervidas",92.3,0.0,80.0,4.37,0.0,0.58,0.8,10.0,38.0,0.39,2.63,35.0,56.8,275.5,1.9,0.05,0.79,108.75,0.05,0.03,227.0,0.0,0.08,13.5,0.0,0.02,,,,,,,,,,,0.04,0.07,0.03,121.0,29.0
